pcap name,count
who_is_in_mastodon_5_30s.pcap,1033
what_are_the_standings_in_the_English_Premier_League_5_30s.pcap,1931
tell_me_a_coffee_Joke_5_30s.pcap,1079
tell_me_some_good_news_5_30s.pcap,1477
good_morning_5_30s.pcap,1192
what_are_the_most_popular_boos_this_week_5_50s.pcap,4171
what_is_the_price_of_bitcoin_5_30s.pcap,1242
do_dogs_dream_5_30s.pcap,1357
what_is_the_score_of_the_red_sox_game_5_30s.pcap,2440
what_happend_in_the_midterm_elections_5_30s.pcap,3264
what_is_the_weather_going_to_be_like_this_weekend_5_30s.pcap,1430
alexa_5_30s.pcap,1361
when_is_the_next_full_moon_5_30s.pcap,1339
what_is_in_the_news_5_30s.pcap,9986
what_is_the_history_of_labor_day_5_30s.pcap,2016
what_is_zero_divided_by_zero_5_30s.pcap,1238
what_is_the_date_tomorrow_5_30s.pcap,966
who_is_playing_monday_night_football_5_30s.pcap,1308
set_an_timer_for_30s_5_30s.pcap,1096
who_wrote_anna_karenina_5_30s.pcap,1070
translate_good_morning_to_spanish_5_30s.pcap,1242
what_is_trending_5_30s.pcap,1436
who_is_your_favorite_poet_5_30s.pcap,1126
tell_me_a_star_war_joke_5_30s.pcap,1019
how_hot_is_the_sun_5_30s.pcap,1746
tell_me_a_story_about_robot_5_30s.pcap,9555
give_me_a_dinosaur_fact_5_30s.pcap,1179
what_the_other_word_for_happy_5_30s.pcap,1356
what_is_the_capital_of_spain_5_30s.pcap,1105
who_do_you_love_5_30s.pcap,1311
surprise_me_5_30s.pcap,11188
how_many_teaspoons_are_in_a_tablespoon_5_30s.pcap,1237
what_is_the_weather_5_30s.pcap,1057
what_time_is_it_in_Hawaii_5_30s.pcap,1196
where_did_yoda_live_5_30s.pcap,1545
is_tomato_a_fruit_or_a_vegetable_5_30s.pcap,1350
how_tall_is_steph_curry_5_30s.pcap,1207
what_is_the_question_of_the_day_5_30s.pcap,2012
who_is_your_favorite_superhero_5_30s.pcap,1228
when_dose_daylight_saving_time_end_5_30s.pcap,1354
what_is_my_traffic_report_5_30s.pcap,5454
talk_like_pirate_5_30s.pcap,1770
how_many_seconds_are_in_a_year_5_30s.pcap,1312
set_volume_to_five_5_30s.pcap,766
what_is_the_best_comedy_movie_5_30s.pcap,1672
what_movies_are_playing_5_30s.pcap,2557
when_is_hanukkah_5_30s.pcap,995
what_is_your_favorite_hobby_5_30s.pcap,1113
how_many_days_until_christmas_5_30s.pcap,1292
tell_me_a_halloween_hack_5_30s.pcap,1175
how_tall_is_the_empire_state_building_5_30s.pcap,1399
flip_a_coin_5_30s.pcap,861
who_is_your_favorite_author_5_30s.pcap,1083
why_do_leaves_change_color_in_the_fall_5_30s.pcap,2223
what_is_the_colts_pats_score_5_30s.pcap,1652
what_is_Roblox_5_30s.pcap,1333
what_is_my_sport_update_5_30s.pcap,2330
where_is_mount_rushmore_5_30s.pcap,2058
what_are_you_thankful_for_5_30s.pcap,1128
what_is_the_score_of_the_eagles_game_5_30s.pcap,1418
help_5_30s.pcap,1154
what_is_homecoming_about_5_30s.pcap,1723
how_many_days_in_a_year_5_30s.pcap,1140
how_old_is_serena_williams_5_30s.pcap,1231
tell_me_a_barbecue_joke_5_30s.pcap,1127
how_far_away_is_the_moon_5_30s.pcap,1203
tell_me_a_joke_5_30s.pcap,1064
play_NPR_917_wvxu_5_30s.pcap,15077
how_many_days_are_in_september_5_30s.pcap,1064
what_is_the_fourth_book_in_the_narnia_series_5_30s.pcap,1339
do_you_like_cats_or_dogs_5_30s.pcap,1227
what_is_your_favorite_flower_5_30s.pcap,1152
what_time_is_it_5_30s.pcap,702
what_is_your_favorite_sport_5_30s.pcap,1278
will_it_rain_tomorrow_5_30s.pcap,836
what_is_the_scariest_movie_of_all_time_5_30s.pcap,1475
how_tall_is_the_rock_5_30s.pcap,1081
how_many_days_until_thanksgiving_5_30s.pcap,1463
how_old_are_you_5_30s.pcap,1043
how_many_fantasy_points_dose_lebron_james_have_5_30s.pcap,2004
tell_me_a_fun_fact_5_30s.pcap,1277
what_time_is_sunset_5_30s.pcap,1164
pick_a_number_5_30s.pcap,1118
what_is_gluten_5_30s.pcap,1310
what_is_the_time_in_Singarpore_5_30s.pcap,1656
what_is_the_longest_word_5_30s.pcap,2097
who_is_winning_the_world_series_5_30s.pcap,1188
who_plays_wolverine_in_xmen_5_30s.pcap,1330
how_deep_is_the_indian_ocean_5_30s.pcap,1023
what_is_the_weather_for_sunday_5_30s.pcap,1287
how_many_ounces_in_a_pound_5_30s.pcap,2556
how_old_is_henry_winkler_5_30s.pcap,1239
what_is_the_AFC_North_Standings_5_30s.pcap,1910
who_wrote_elevation_5_30s.pcap,1022
who_scored_for_the_golden_knights_5_30s.pcap,1385
how_much_is_an_ounce_of_gold_5_30s.pcap,1316
what_is_the_number_one_song_this_week_5_30s.pcap,2867
tell_me_a_spooky_story_5_30s.pcap,9236
tell_me_something_weird_5_30s.pcap,1453
how_do_you_spell_appreciate_5_30s.pcap,1380
