pcap name,count
whats_another_word_for_happy_5.pcap,2583
who_is_in_mastodon_5_30s.pcap,2625
tell_me_a_barbecue_joke_5.pcap,2422
whos_playing_monday_night_football_5.pcap,2685
where_did_yoda_live_5.pcap,2688
how_hot_is_the_sun_5.pcap,2764
whats_the_score_of_the_eagles_game_5.pcap,2735
whats_the_question_of_the_day_5.pcap,4405
good_morning_5_30s.pcap,2598
what's_in_the_news_5_30s.pcap,33836
what_time_is_sunset_5.pcap,2485
tell_me_a_story_about_robots_5.pcap,10976
how_tall_is_steph_curry_5.pcap,2510
what_happened_in_the_midterm_election_5.pcap,4275
when_is_the_next_full_moon_5_30s.pcap,3020
how_tall_is_the_rock_5.pcap,2176
what_is_zero_divided_by_zero_5_30s.pcap,2613
what_is_the_colts_pats_score_5_8_27_49_71_95.pcap,3053
who_wrote_anna_karenina_5_30s.pcap,2614
translate_good_morning_to_spanish_5_30s.pcap,3264
tell_me_a_spooky_story_5.pcap,12329
whats_the_price_of_bitcoin_5.pcap,2546
how_do_you_spell_appreciate_5.pcap,2722
who_wrote_elevation_5.pcap,2203
what_time_is_it_5_0_18_31_47_58_capture.pcap,2217
talk_like_a_pirate_5.pcap,3292
what_is_the_capital_of_spain_5_30s.pcap,2467
tell_me_a_coffe_joke_5.pcap,2248
when_is_hanukkah_5.pcap,1984
who_is_your_favorite_poet_5.pcap,2200
how_many_seconds_in_a_year_5.pcap,2514
how_many_ounces_in_pound_5_30s.pcap,3205
what_is_the_date_tomorrow.pcap,2125
what_is_the_time_in_singapore_5_30s.pcap,2712
do_you_like_cats_or_dogs_5.pcap,2219
what_is_roblox_5.pcap,2721
what_are_the_most_popular_books_this_week_5.pcap,6164
how_many_days_untill_christmas_5_30s.pcap,2596
pick_a_number.pcap,2069
what_are_you_thankful_for_5.pcap,2357
what_is_my_traffic_report_5_30s.pcap,2571
whats_the_fourth_book_in_narnia_series_5.pcap,2371
whats_the_weather_for_sunday_5.pcap,2415
whats_trending_5.pcap,4989
what_is_homecoming_about_5.pcap,3417
who_do_you_love_5.pcap,2491
how_many_teaspoons_in_a_table_spoon_5.pcap,2564
how_old_is_serena_williams_5.pcap,2549
set_volume_to_five_5_30s.pcap,1785
afc_north_standings_5_30s.pcap,3085
what_movies_are_playing_5_30s.pcap,5955
flip_a_coin_5_30s.pcap,2077
do_dogs_dream_5.pcap,2703
whats_your_favorite_sport_5.pcap,2396
tell_me_a_halloween_hack_5.pcap,2507
what_is_the_scariest_movie_of_all_time.pcap,2764
how_old_is_henry_winkler_5.pcap,2435
how_many_fantasy_points_does_lebron_james_have_5.pcap,3063
tell_me_something_wierd_5.pcap,3241
where_is_mount_rushmore_5.pcap,3289
whats_the_longest_word_5.pcap,3251
help_5_30s.pcap,2211
whos_your_favorite_superhero_5.pcap,2510
how_many_days_in_a_year_5_30s.pcap,2271
whats_the_history_of_labor_day_5.pcap,3019
how_old_are_you_5.pcap,2114
what_are_the_standings_in_the_english_premier_league_5.pcap,3128
how_far_away_is_the_moon_5_30s.pcap,2496
give_me_a_dinosaur_fact_5.pcap,2421
tell_me_a_joke_5_30s.pcap,2124
what_is_the_weather_5_60_80_100_120_140_capture.pcap,3114
who_is_winning_the_world_series_5.pcap,2281
whats_your_favorite_flower_5.pcap,2316
when_does_daylight_saving_time_end_5.pcap,2991
what_is_gluten_5.pcap,2369
what_the_best_comedy_movie_5.pcap,2557
will_it_rain_tomorrow_5_30s.pcap,2022
alexa_5_40s.pcap,2780
what_is_my_sports_update_5_20_122_223_320_428_capture.pcap,12913
whos_your_favorite_author_5.pcap,2536
play_npr_5_30s.pcap,38861
whats_your_favorite_hobby_5.pcap,2217
tell_me_a_star_wars_joke_5.pcap,2161
how_many_days_until_thanksgiving_5.pcap,2504
what_time_is_it_in_hawaii_5.pcap,2233
why_do_leaves_change_color_in_the_fall_5.pcap,3316
who_plays_wolverine_in_xmen_5_30s.pcap,2502
surprise_me_5.pcap,12140
what's_the_weather_going_to_be_like_this_weekend_5_30s.pcap,2510
how_deep_is_the_indian_ocean_5_30s.pcap,2268
tell_me_some_good_news_5.pcap,2545
what_is_the_score_of_the_red_sox_game_6_30s.pcap,3564
is_a_tomato_a_fruit_or_a_vegetable_5.pcap,2757
how_much_is_an_ounce_of_gold_5.pcap,2535
who_scored_for_the_golden_knights_5.pcap,2634
tell_me_a_fun_fact_5.pcap,2383
set_a_timer_for_thirty_seconds_5_20s.pcap,4202
how_tall_is_the_empire_state_building_5.pcap,2249
what_is_the_number_one_song_this_week_5_30s.pcap,2427
how_many_days_are_in_september_5.pcap,2518
